tipo_estabelecimento;uf;municipio;gestao;capacidade_total_final;capacidade_total_calculada;vagas_desativadas_total;capacidade_masculino_total;capacidade_feminino_total;capacidade_provisorios_total;capacidade_fechado_total;capacidade_semiaberto_total;capacidade_aberto_total;capacidade_rdd_total;capacidade_medida_internacao_total;capacidade_outros_total;pop_total_final;pop_total;pop_total_calculada;pop_provisorios_total;pop_fechado_total;pop_semiaberto_total;pop_aberto_total;pop_internacao_total;pop_tratamento_ambulatorial_total;pop_rdd_total;taxa_ocupacao;flag_superlotacao;perc_provisorios;perc_fechado;perc_semiaberto;perc_aberto;mov_entradas_total;mov_alvaras_total;mov_abandonos_total;mov_obitos_total;mov_transf_in_total;mov_transf_out_total;mov_perm_saida_total;mov_saida_temp_total;pop_18_29_total;perc_18_29;idade_18_24_total;idade_25_29_total;idade_30_34_total;idade_35_45_total;idade_46_60_total;idade_61_70_total;idade_70mais_total;idade_nao_info_total;raca_parda_preta_total;perc_parda_preta;raca_branca_total;raca_preta_total;raca_parda_total;raca_amarela_total;raca_indigena_total;raca_nao_info_total;proc_urb_interior_total;proc_urb_rm_total;proc_rural_total;civil_solteiro_total;civil_uniao_total;civil_casado_total;civil_separado_total;civil_divorciado_total;civil_viuvo_total;civil_nao_info_total;gestao_saude_terceirizada;gestao_assist_juridica_terceirizada;saude_nao_possui;saude_consultorio_medico;saude_consultorio_odontologico;saude_enfermagem;saude_farmacia;flag_sem_modulo_saude;educacao_nao_possui;educacao_sala_aula;educacao_sala_informatica;educacao_biblioteca;flag_sem_modulo_educacao;assist_juridica_nao;assist_juridica_defensoria;assist_juridica_dativos;assist_juridica_ong;flag_assist_juridica_defensoria;saude_consultas_ext_total;saude_consultas_no_estab_total;saude_consultas_psico_total;saude_consultas_odonto_total;saude_exames_total;saude_vacinas_total;saude_outros_proc_total;mortalidade_natural_total;mortalidade_criminal_total;mortalidade_suicidio_total;mortalidade_acidental_total;mortalidade_causa_desconhecida_total;controle_mais_90_dias;controle_semiaberto_aguardando_vaga;proc_urb_interior_masc;proc_urb_interior_fem;proc_urb_rm_masc;proc_urb_rm_fem;proc_rural_masc;proc_rural_fem
Cela física;SP;Icém;Pública;847.0;847.0;0.0;847.0;0.0;0.0;847.0;0.0;0.0;0.0;0.0;;1235;1235;1235.0;0.0;1235.0;0.0;0.0;0.0;0.0;0.0;1.4580873671782764;1;0.0;1.0;0.0;0.0;52.0;112.0;1.0;0.0;380.0;335.0;0.0;96.0;583.0;0.4720647773279352;262.0;321.0;255.0;284.0;99.0;9.0;5.0;0.0;745.0;0.6032388663967612;489.0;135.0;610.0;1.0;0.0;0.0;1235.0;0.0;0.0;548.0;570.0;73.0;6.0;33.0;5.0;0.0;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Não;Sim;0;Não;Sim;Não;Não;1;76.0;1149.0;0.0;553.0;1359.0;1148.0;133.0;0.0;0.0;0.0;0.0;0.0;Sim. Quantos;Sim. Quantos;1235.0;0.0;0.0;0.0;0.0;0.0
Cela física;SP;Piracicaba;Pública;619.0;619.0;0.0;619.0;0.0;559.0;0.0;60.0;0.0;0.0;0.0;;1060;1060;1060.0;659.0;324.0;77.0;0.0;0.0;0.0;0.0;1.7124394184168013;1;0.6216981132075472;0.30566037735849055;0.07264150943396226;0.0;1176.0;309.0;6.0;1.0;101.0;731.0;130.0;105.0;489.0;0.46132075471698114;258.0;231.0;165.0;298.0;92.0;16.0;0.0;0.0;611.0;0.5764150943396227;449.0;155.0;456.0;0.0;0.0;0.0;1049.0;11.0;0.0;623.0;323.0;80.0;9.0;23.0;2.0;0.0;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Não;Sim;0;Não;Sim;Não;Não;1;230.0;1545.0;117.0;307.0;3930.0;1178.0;27.0;1.0;0.0;0.0;0.0;0.0;Sim. Quantos;Sim. Quantos;1049.0;;11.0;;0.0;
Cela física;SP;Sorocaba;Pública;773.0;773.0;0.0;773.0;0.0;700.0;0.0;73.0;0.0;0.0;0.0;;1381;1381;1381.0;1172.0;130.0;79.0;0.0;0.0;0.0;0.0;1.7865459249676585;1;0.8486603910209993;0.0941346850108617;0.05720492396813903;0.0;1597.0;505.0;5.0;1.0;149.0;1012.0;76.0;99.0;609.0;0.44098479362780596;332.0;277.0;242.0;371.0;145.0;10.0;4.0;0.0;565.0;0.4091238233164374;816.0;140.0;425.0;0.0;0.0;0.0;1309.0;72.0;0.0;659.0;511.0;184.0;19.0;8.0;0.0;0.0;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Não;Sim;0;Não;Sim;Não;Não;1;28.0;330.0;31.0;379.0;252.0;1351.0;6158.0;1.0;0.0;0.0;0.0;0.0;Sim. Quantos;Sim. Quantos;1309.0;;72.0;;0.0;
Cela física;SP;Jundiaí;Pública;847.0;847.0;0.0;847.0;0.0;847.0;0.0;0.0;0.0;0.0;0.0;;1551;1551;1551.0;1551.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8311688311688312;1;1.0;0.0;0.0;0.0;1807.0;663.0;0.0;1.0;155.0;907.0;209.0;0.0;733.0;0.47259832366215343;396.0;337.0;285.0;398.0;121.0;10.0;4.0;;1188.0;0.7659574468085106;363.0;158.0;1030.0;;;;1551.0;0.0;0.0;787.0;578.0;135.0;9.0;39.0;3.0;;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Não;Sim;0;Não;Sim;Não;Não;1;121.0;401.0;1.0;2.0;84.0;1429.0;446.0;1.0;0.0;0.0;0.0;0.0;Sim. Quantos;Sim. Quantos;1551.0;;;;;
Cela física;SP;Nova Independência;Pública;823.0;823.0;0.0;823.0;0.0;0.0;823.0;0.0;0.0;0.0;0.0;;1236;1236;1236.0;1.0;1201.0;34.0;0.0;0.0;0.0;0.0;1.5018226002430133;1;0.0008090614886731392;0.9716828478964401;0.02750809061488673;0.0;278.0;214.0;1.0;0.0;424.0;357.0;93.0;27.0;648.0;0.5242718446601942;244.0;404.0;251.0;276.0;57.0;4.0;0.0;0.0;905.0;0.732200647249191;328.0;124.0;781.0;2.0;1.0;0.0;604.0;632.0;0.0;561.0;572.0;76.0;3.0;22.0;2.0;0.0;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Não;Sim;0;Não;Sim;Não;Não;1;26.0;697.0;0.0;507.0;565.0;1080.0;25.0;0.0;0.0;0.0;0.0;0.0;Sim. Quantos;Sim. Quantos;604.0;;632.0;;;
Cela física;SP;Hortolândia;Pública;1125.0;1125.0;0.0;1125.0;0.0;0.0;0.0;1125.0;0.0;0.0;0.0;;1424;1424;1424.0;0.0;0.0;1424.0;0.0;0.0;0.0;0.0;1.2657777777777777;1;0.0;0.0;1.0;0.0;232.0;76.0;71.0;2.0;592.0;471.0;0.0;1845.0;492.0;0.3455056179775281;200.0;292.0;274.0;494.0;150.0;12.0;2.0;0.0;1016.0;0.7134831460674157;408.0;199.0;817.0;0.0;0.0;0.0;0.0;0.0;0.0;716.0;534.0;102.0;13.0;27.0;4.0;28.0;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Não;Sim;0;Sim;Não;Não;Não;0;551.0;991.0;695.0;4.0;911.0;2208.0;209.0;2.0;0.0;0.0;0.0;0.0;Não;Não;;;;;;
Cela física;SP;Jardinópolis;Pública;1080.0;1080.0;0.0;1080.0;0.0;0.0;0.0;1080.0;0.0;0.0;0.0;;1504;1504;1504.0;0.0;0.0;1504.0;0.0;0.0;0.0;0.0;1.3925925925925926;1;0.0;0.0;1.0;0.0;796.0;787.0;57.0;1.0;556.0;524.0;0.0;1354.0;507.0;0.3371010638297872;232.0;275.0;312.0;488.0;167.0;26.0;4.0;0.0;741.0;0.49268617021276595;762.0;269.0;472.0;1.0;0.0;0.0;1333.0;159.0;12.0;734.0;610.0;105.0;11.0;37.0;7.0;0.0;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Sim;Sim;0;Não;Sim;Não;Não;1;317.0;1796.0;0.0;635.0;391.0;1647.0;55.0;1.0;0.0;0.0;0.0;0.0;Não;Não;1333.0;0.0;159.0;0.0;12.0;0.0
Cela física;SP;Porto Feliz;Pública;1080.0;1080.0;0.0;1080.0;0.0;0.0;0.0;1080.0;0.0;0.0;0.0;;1441;1441;1441.0;0.0;1441.0;0.0;0.0;0.0;0.0;0.0;1.3342592592592593;1;0.0;1.0;0.0;0.0;427.0;822.0;46.0;4.0;1398.0;855.0;0.0;1871.0;407.0;0.2824427480916031;148.0;259.0;288.0;527.0;189.0;25.0;5.0;0.0;889.0;0.6169326856349757;551.0;142.0;747.0;1.0;0.0;0.0;950.0;491.0;0.0;668.0;506.0;180.0;21.0;55.0;11.0;;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Não;Sim;0;Não;Não;Não;Não;0;673.0;1653.0;0.0;463.0;362.0;1310.0;380.0;4.0;0.0;0.0;0.0;0.0;Não;Não;950.0;;491.0;;;
Cela física;SP;Bauru;Pública;1710.0;1710.0;0.0;1710.0;0.0;0.0;0.0;1710.0;0.0;0.0;0.0;;2176;2176;2176.0;0.0;0.0;2176.0;0.0;0.0;0.0;0.0;1.272514619883041;1;0.0;0.0;1.0;0.0;228.0;107.0;72.0;3.0;1287.0;297.0;0.0;2813.0;705.0;0.3239889705882353;270.0;435.0;466.0;750.0;225.0;23.0;7.0;0.0;1508.0;0.6930147058823529;666.0;241.0;1267.0;2.0;0.0;0.0;480.0;1681.0;15.0;1242.0;715.0;162.0;4.0;48.0;5.0;0.0;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Não;Sim;0;Não;Sim;Não;Não;1;201.0;269.0;0.0;80.0;1338.0;4185.0;3260.0;3.0;0.0;0.0;0.0;0.0;Sim. Quantos;Não;480.0;0.0;1681.0;0.0;15.0;0.0
Cela física;SP;Bauru;Pública;1706.0;1706.0;0.0;1706.0;0.0;0.0;0.0;1706.0;0.0;0.0;0.0;;2215;2215;2215.0;0.0;0.0;2215.0;0.0;0.0;0.0;0.0;1.2983587338804221;1;0.0;0.0;1.0;0.0;2.0;75.0;105.0;4.0;1671.0;427.0;163.0;3090.0;676.0;0.3051918735891648;239.0;437.0;506.0;757.0;257.0;17.0;2.0;0.0;1464.0;0.6609480812641083;750.0;172.0;1292.0;1.0;0.0;0.0;1474.0;689.0;52.0;1283.0;738.0;135.0;14.0;38.0;7.0;0.0;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Sim;Sim;0;Não;Sim;Não;Não;1;191.0;1098.0;5.0;751.0;1226.0;4163.0;3506.0;2.0;2.0;0.0;0.0;0.0;Sim. Quantos;Não;1474.0;0.0;689.0;0.0;52.0;0.0
